Game Id,points,result,attendance,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,assists,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,foulouts,points,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,team_tech_fouls,coach_tech_fouls,points_in_paint,team_offensive_rebounds,team_defensive_rebounds,total_rebounds,personal_rebounds,player_turnovers,pls_min,effective_fg_pct,bench_points,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,biggest_lead,fouls_drawn,offensive_fouls,efficiency,efficiency_game_score,defensive_rating,offensive_rating,coach_ejections,points_against,possessions,opponent_possessions,time_leading,defensive_points_per_possession,offensive_points_per_possession,team_fouls,total_fouls,second_chance_att,second_chance_made,second_chance_pct,fast_break_att,fast_break_made,fast_break_pct,home_away,capacity
24b2d362-bcc6-4bbd-acd6-d2f2f706e219,121,win,18846,4:00:00,44,88,50.0,24,54,44.4,20,34,58.8,3,9,17,52.9,6,32,34,10,4,3.09,19,0,0,121,24,9,0,22,13,0,1,0,0,32,6,7,51,38,11,25,63.6,58,22,16,72.7,95.48,63.4,34,18,3,139,105.6,96.3855421686747,120.421974522293,0,96,100.48,99.6,45:39,0.96,1.2,0,19,9,4,44.4,12,9,75.0,away,18846
b6e91490-efc9-4bca-bfd9-d396bed67e23,112,loss,17116,4:00:00,43,84,51.2,9,31,29.0,34,53,64.2,1,17,20,85.0,7,29,26,9,3,1.44,15,0,0,112,8,6,1,23,4,0,0,0,0,52,2,2,40,36,18,-11,56.5,27,39,26,66.7,92.8,60.3,11,16,1,124,88.1,116.609783845279,106.870229007634,0,123,104.8,105.48,25:47,1.17,1.07,0,15,8,3,37.5,4,3,75.0,home,19432
b6e91490-efc9-4bca-bfd9-d396bed67e23,123,win,17116,4:00:00,48,91,52.7,13,32,40.6,35,59,59.3,3,14,17,82.4,11,35,32,13,1,1.78,16,0,0,123,14,16,0,34,4,0,0,0,0,58,4,0,50,46,18,11,59.9,45,48,29,60.4,98.48,62.4,18,15,2,147,107.2,106.870229007634,116.609783845279,0,112,105.48,104.8,20:29,1.06,1.17,0,16,10,6,60.0,8,5,62.5,away,19432
fb168333-20fe-4bb6-a504-1b77fdc42c02,83,loss,19156,4:00:00,32,82,39.0,11,34,32.4,21,48,43.8,2,8,11,72.7,10,32,19,6,12,0.76,19,0,0,83,9,4,0,9,6,0,1,0,0,32,3,3,48,42,25,-32,45.7,36,39,16,41.0,86.84,47.8,8,13,4,75,48.9,114.724660814046,81.5003927729772,0,115,101.84,100.24,11:03,1.13,0.82,0,19,9,2,22.2,7,4,57.1,home,18624
fb168333-20fe-4bb6-a504-1b77fdc42c02,115,win,19156,4:00:00,42,100,42.0,10,35,28.6,32,65,49.2,12,21,21,100.0,21,39,22,16,2,2.0,13,0,0,115,22,23,1,27,3,0,0,0,0,58,2,1,63,60,11,32,47.0,30,55,29,52.7,109.24,52.6,36,19,1,140,104.8,81.5003927729772,114.724660814046,0,83,100.24,101.84,33:41,0.83,1.15,0,13,21,9,42.9,13,10,76.9,away,18624
ed5b9b25-f608-44a5-bb6e-b99baa43b8b8,124,win,15674,4:00:00,48,95,50.5,17,38,44.7,31,57,54.4,4,11,14,78.6,10,44,29,12,10,1.71,18,0,0,124,17,21,0,21,10,0,0,0,0,58,6,4,64,54,17,33,59.5,47,49,29,59.2,101.16,61.3,35,21,3,161,110.8,83.4556126192223,114.644970414201,0,91,108.16,109.04,47:44,0.84,1.15,0,18,13,9,69.2,13,8,61.5,home,18500
ed5b9b25-f608-44a5-bb6e-b99baa43b8b8,91,loss,15674,4:00:00,34,91,37.4,14,43,32.6,20,48,41.7,10,9,16,56.3,8,31,22,9,4,1.16,21,0,0,91,13,11,0,14,11,0,0,0,0,34,8,3,50,39,19,-33,45.1,56,40,17,42.5,98.04,46.4,0,18,2,69,52.8,114.644970414201,83.4556126192223,0,124,109.04,108.16,00:00,1.14,0.83,0,21,14,5,35.7,5,4,80.0,away,18500
420a030e-804b-4cc3-83a3-efdd64f2fdbf,102,win,19520,4:00:00,44,86,51.2,9,30,30.0,35,56,62.5,2,5,8,62.5,8,33,26,10,2,1.24,21,0,0,102,17,6,0,10,5,0,0,0,0,58,3,2,46,41,21,6,56.4,30,45,29,64.4,89.52,57.0,11,17,5,109,73.9,93.0593253198914,99.4927818962154,0,96,102.52,103.16,39:05,0.94,0.99,0,21,7,3,42.9,13,7,53.8,home,19520
420a030e-804b-4cc3-83a3-efdd64f2fdbf,96,loss,19520,4:00:00,40,84,47.6,6,24,25.0,34,60,56.7,2,10,14,71.4,7,32,24,11,2,1.2,17,0,0,96,7,9,0,20,8,0,0,0,0,54,6,2,47,39,20,-6,51.2,18,43,27,62.8,90.16,53.2,4,21,5,106,68.5,99.4927818962154,93.0593253198914,0,102,103.16,102.52,7:22,0.99,0.93,0,17,5,3,60.0,7,3,42.9,away,19520
a6a8d6ba-2791-4dff-bb49-23538a8b7d10,101,loss,17583,4:00:00,39,99,39.4,8,36,22.2,31,63,49.2,3,15,21,71.4,16,36,20,15,5,1.33,22,0,1,101,18,13,0,23,10,0,0,0,0,54,10,0,62,52,15,-9,43.4,37,53,27,50.9,108.24,46.7,9,17,0,104,75.6,103.656238220882,94.1812756434166,0,110,107.24,106.12,29:28,1.03,0.94,0,22,17,4,23.5,13,8,61.5,home,17608
a6a8d6ba-2791-4dff-bb49-23538a8b7d10,110,win,17583,4:00:00,37,90,41.1,16,42,38.1,21,48,43.8,5,20,23,87.0,13,38,16,14,3,0.94,17,1,0,110,14,21,2,20,9,1,1,1,1,40,7,2,60,51,17,9,50.0,28,44,20,45.5,100.12,54.9,11,22,1,120,84.6,94.1812756434166,103.656238220882,0,101,106.12,107.24,14:48,0.95,1.04,2,19,10,5,50.0,13,5,38.5,away,17608
c90724b1-b19b-4e5a-ae99-2744f275fbc6,105,loss,18997,4:00:00,34,86,39.5,15,34,44.1,19,52,36.5,2,22,29,75.9,12,34,25,7,3,1.56,26,0,0,105,5,11,0,19,8,1,2,1,1,26,6,2,54,46,16,-10,48.3,37,36,13,36.1,98.76,53.2,7,22,4,103,74.4,111.304684475416,102.179836512262,0,115,102.76,103.32,10:25,1.12,1.02,2,28,11,3,27.3,9,2,22.2,home,18997
c90724b1-b19b-4e5a-ae99-2744f275fbc6,115,win,18997,4:00:00,42,86,48.8,10,32,31.3,32,54,59.3,3,21,28,75.0,7,40,31,8,2,2.82,22,0,0,115,5,5,1,15,9,0,1,1,0,52,8,1,56,47,11,10,54.7,28,43,26,60.5,98.32,58.5,32,26,0,141,97.0,102.179836512262,111.304684475416,0,105,103.32,102.76,35:48,1.02,1.11,1,23,6,2,33.3,9,2,22.2,away,18997
82ba59ca-538a-422a-b0d0-54ce19b6ea82,102,win,17147,4:25:00,38,97,39.2,10,39,25.6,28,58,48.3,2,16,21,76.2,14,41,18,10,5,1.13,18,0,0,102,18,13,0,17,6,1,0,0,0,50,5,1,61,55,16,11,44.3,37,45,25,55.6,106.24,48.0,12,25,7,115,72.3,83.3638695492854,94.2350332594235,0,91,108.24,109.16,33:47,0.84,0.94,0,18,15,6,40.0,14,7,50.0,home,20000
82ba59ca-538a-422a-b0d0-54ce19b6ea82,91,loss,17147,4:25:00,35,91,38.5,9,33,27.3,26,58,44.8,5,12,14,85.7,10,45,18,4,2,0.82,25,0,0,91,10,10,0,18,6,0,0,0,0,36,6,0,61,55,22,-11,43.4,39,40,18,45.0,97.16,46.8,6,18,5,78,47.0,94.2350332594235,83.3638695492854,0,102,109.16,108.24,16:40,0.93,0.83,0,25,9,3,33.3,11,3,27.3,away,20000
2f83c30f-7413-4277-b941-5172758779fa,95,loss,19800,4:00:00,34,85,40.0,11,37,29.7,23,48,47.9,6,16,23,69.6,11,38,17,7,6,1.42,23,0,0,95,12,9,0,3,11,0,0,0,0,36,8,3,60,49,12,-8,46.5,13,34,18,52.9,95.12,49.9,14,22,3,97,67.3,108.512431521281,98.8347898460258,0,103,96.12,94.92,29:02,1.07,0.99,0,23,12,3,25.0,12,5,41.7,home,19800
2f83c30f-7413-4277-b941-5172758779fa,103,win,19800,4:00:00,38,91,41.8,14,42,33.3,24,49,49.0,6,13,18,72.2,13,37,24,6,6,2.67,22,0,0,103,9,11,0,15,6,0,0,0,0,40,4,2,56,50,9,8,49.5,11,37,20,54.1,98.92,52.1,16,23,1,117,81.9,98.8347898460258,108.512431521281,0,95,94.92,96.12,17:43,1.0,1.09,0,22,15,4,26.7,9,4,44.4,away,19800
663964dc-e4e3-48b1-bb34-c853be4bffe6,97,win,18888,4:00:00,35,84,41.7,11,26,42.3,24,58,41.4,8,16,19,84.2,3,39,24,13,11,2.0,17,0,0,97,12,7,1,24,7,1,0,0,0,34,6,1,49,42,12,15,48.2,25,40,17,42.5,92.36,52.5,31,17,1,115,83.5,76.9230769230769,94.7635795232513,0,82,102.36,106.6,39:03,0.8,0.95,0,17,5,3,60.0,6,4,66.7,home,20917
663964dc-e4e3-48b1-bb34-c853be4bffe6,82,loss,18888,4:00:00,34,88,38.6,5,28,17.9,29,60,48.3,11,9,15,60.0,11,42,14,9,8,0.7,17,0,0,82,15,16,3,19,10,0,0,0,0,54,9,1,63,53,20,-15,41.5,40,54,27,50.0,94.6,43.3,9,17,3,75,49.5,94.7635795232513,76.9230769230769,0,97,106.6,102.36,7:33,0.91,0.77,0,17,11,7,63.6,11,6,54.5,away,20917
9de11d8a-fa43-45f2-aa88-87f817ddefa0,134,win,18558,4:00:00,51,94,54.3,21,50,42.0,30,44,68.2,1,11,17,64.7,8,40,24,8,5,2.67,15,0,0,134,21,15,0,15,7,0,1,0,0,50,6,1,55,48,9,29,65.4,56,36,25,69.4,101.48,66.0,37,19,1,163,117.1,102.33918128655,130.757220921155,0,105,102.48,102.6,46:42,1.02,1.31,0,15,9,7,77.8,10,7,70.0,home,19393
9de11d8a-fa43-45f2-aa88-87f817ddefa0,105,loss,18558,4:00:00,43,89,48.3,9,28,32.1,34,61,55.7,5,10,15,66.7,7,31,27,6,1,1.93,19,0,0,105,6,11,0,11,7,0,0,0,0,56,3,4,45,38,14,-29,53.4,51,47,28,59.6,95.6,54.9,1,15,2,103,76.1,130.757220921155,102.33918128655,0,134,102.6,102.48,00:58,1.31,1.02,0,19,7,4,57.1,5,3,60.0,away,19393
fc3396df-ea57-4f02-a9c3-3ee3d01d44e3,95,loss,17732,4:00:00,38,87,43.7,9,35,25.7,29,52,55.8,5,10,12,83.3,9,35,18,10,8,1.06,19,0,0,95,12,6,0,13,5,0,0,0,0,42,2,3,49,44,17,-16,48.9,27,40,21,52.5,92.28,51.5,10,17,4,100,68.9,106.362591031046,94.7347427203829,0,111,100.28,104.36,21:21,1.11,0.95,0,19,7,3,42.9,9,5,55.6,home,17732
fc3396df-ea57-4f02-a9c3-3ee3d01d44e3,111,win,17732,4:00:00,43,94,45.7,10,30,33.3,33,64,51.6,8,15,19,78.9,10,38,26,10,5,2.17,17,0,0,111,19,10,0,29,9,0,0,0,0,56,7,2,57,48,12,16,51.1,39,50,28,56.0,102.36,54.2,16,19,1,127,92.1,94.7347427203829,106.362591031046,0,95,104.36,100.28,22:20,0.91,1.06,0,17,11,4,36.4,14,8,57.1,away,17732
70717841-e682-4364-873b-b6a066d61989,104,loss,16273,4:00:00,37,100,37.0,13,48,27.1,24,52,46.2,4,17,25,68.0,16,36,20,8,8,1.67,21,0,1,104,8,14,0,11,12,1,0,0,0,46,7,5,64,52,12,-6,43.5,34,40,23,57.5,111.0,46.8,13,25,2,109,74.8,103.812759531899,97.196261682243,0,110,107.0,105.96,22:44,1.03,0.97,0,21,16,6,37.5,8,3,37.5,home,19812
